title,url,agency,location,salary,closing_date,search_term
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/811720800,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 09/30/2024 to 09/29/2025,Data Scientist
Clinical Laboratory Scientist - Evening/Nights (Compressed Work Schedule Available),https://www.usajobs.gov/job/829739800,Veterans Health Administration,"Indianapolis, Indiana Indianapolis, Indiana",Not specified,Opening and closing dates Open 01/29/2025 to 04/29/2025,Data Scientist
Clinical Laboratory Scientist,https://www.usajobs.gov/job/832366100,Veterans Health Administration,"Pittsburgh, Pennsylvania Pittsburgh, Pennsylvania",Not specified,Opening and closing dates Open 02/24/2025 to 03/24/2025,Data Scientist
Clinical Laboratory Scientist - Microbiology Molecular (Part Time),https://www.usajobs.gov/job/829740800,Veterans Health Administration,"Indianapolis, Indiana Indianapolis, Indiana",Not specified,Opening and closing dates Open 01/29/2025 to 04/29/2025,Data Scientist
Clinical Laboratory Scientist,https://www.usajobs.gov/job/832735000,Veterans Health Administration,"Fayetteville, North Carolina Fayetteville, North Carolina",Not specified,Opening and closing dates Open 02/27/2025 to 03/10/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/829622700,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 01/29/2025 to 03/14/2025,Data Scientist
Interdisciplinary (General Engineer Mechanical Engineer Electronics Engineer),https://www.usajobs.gov/job/832699400,U.S. Army Intelligence and Security Command,"Charlottesville, Virginia Charlottesville, Virginia",Not specified,Opening and closing dates Open 02/27/2025 to 03/10/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/792424900,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 05/28/2024 to 05/27/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/832315300,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 02/25/2025 to 03/10/2025,Data Scientist
TECHNICAL PROJECT MANAGER,https://www.usajobs.gov/job/832220700,Naval Sea Systems Command,"Naval Base Newport, Rhode Island Naval Base Newport, Rhode Island",Not specified,Opening and closing dates Open 02/28/2025 to 03/13/2025,Data Scientist
Mathematician,https://www.usajobs.gov/job/825862000,Department of the Air Force - Agency Wide,Multiple Locations,Not specified,Opening and closing dates Open 01/01/2025 to 12/31/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/801105600,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 07/26/2024 to 07/25/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/811214500,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 09/30/2024 to 09/29/2025,Data Scientist
INTERDISCIPLINARY (Project Management Specialist),https://www.usajobs.gov/job/825950500,U.S. Army Corps of Engineers,Multiple Locations,Not specified,Opening and closing dates Open 01/02/2025 to 12/31/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/816135300,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 10/31/2024 to 10/30/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/793433300,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 05/31/2024 to 05/30/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/801318600,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 07/29/2024 to 07/28/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/804207900,Naval Sea Systems Command,"Dahlgren, Virginia Dahlgren, Virginia",Not specified,Opening and closing dates Open 08/12/2024 to 08/11/2025,Data Scientist
Health Student Trainee (Clinical Laboratory Specialist),https://www.usajobs.gov/job/832888000,Veterans Health Administration,"Dallas, Texas Dallas, Texas",Not specified,Opening and closing dates Open 02/28/2025 to 03/13/2025,Data Scientist
OPERATIONS RESEARCH ANALYST,https://www.usajobs.gov/job/827465800,Naval Sea Systems Command,"Naval Support Activity, Mechanicsburg, Pennsylvania Naval Support Activity, Mechanicsburg, Pennsylvania",Not specified,Opening and closing dates Open 01/13/2025 to 07/14/2025,Data Scientist
ENGINEER/SCIENTIST,https://www.usajobs.gov/job/802266100,Naval Sea Systems Command,"Dam Neck Naval Facility, Virginia Beach, Virginia Dam Neck Naval Facility, Virginia Beach, Virginia",Not specified,Opening and closing dates Open 08/01/2024 to 07/31/2025,Data Scientist
Physical Embedded and Control Systems Security - Technical,https://www.usajobs.gov/job/830897900,DHS Headquarters,Multiple Locations,Not specified,Opening and closing dates Open 02/10/2025 to 03/12/2025,Network Security Engineer
Physical Embedded and Control Systems Security (PECSS) - Developmental,https://www.usajobs.gov/job/830892700,DHS Headquarters,Multiple Locations,Not specified,Opening and closing dates Open 02/10/2025 to 03/12/2025,Network Security Engineer
Principal Systems Engineer/ Senior Systems Engineer #208,https://www.usajobs.gov/job/833334400,Senate,"Washington DC, District of Columbia Washington DC, District of Columbia",Not specified,Opening and closing dates Open 03/06/2025 to 03/20/2025,Network Security Engineer
Biomedical Equipment Support Specialist (Biomedical Information Systems),https://www.usajobs.gov/job/833252400,Veterans Health Administration,"Martinez, California Martinez, California",Not specified,Opening and closing dates Open 03/06/2025 to 03/20/2025,Network Security Engineer
IT SPECIALIST (NETWORK),https://www.usajobs.gov/job/832371600,Naval Sea Systems Command,"Naval Surface Warfare Center, Maryland Naval Surface Warfare Center, Maryland",Not specified,Opening and closing dates Open 02/26/2025 to 03/11/2025,Network Security Engineer
